r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
4.2999999999999997e-02,4.3598018738571540e-02,4.4058481062837891e-02
4.3999999999999997e-02,4.5152533917919013e-02,4.5634682854147977e-02
4.4999999999999998e-02,4.6711114128215901e-02,4.7215450147535795e-02
4.5999999999999999e-02,4.8272889663286460e-02,4.8799913368058466e-02
4.7000000000000000e-02,4.9837036413005305e-02,5.0387248539665322e-02
4.8000000000000001e-02,5.1402774452719638e-02,5.1976675874674583e-02
4.9000000000000002e-02,5.2969366584231473e-02,5.3567458314819315e-02
5.0000000000000003e-02,5.4536116842652568e-02,5.5158900038162900e-02
5.0999999999999997e-02,5.6102368981863479e-02,5.6750344944605263e-02
5.1999999999999998e-02,5.7667504949822097e-02,5.8341175131216699e-02
5.2999999999999999e-02,5.9230943363576594e-02,5.9930809367250586e-02
5.3999999999999999e-02,6.0792137992551128e-02,6.1518701577403814e-02
5.5000000000000000e-02,6.2350576257485392e-02,6.3104339340711094e-02
5.6000000000000001e-02,6.3905777751325304e-02,6.4687242411378770e-02
5.7000000000000002e-02,6.5457292787375707e-02,6.6266961266880031e-02
5.8000000000000003e-02,6.7004700979136855e-02,6.7843075687742713e-02
5.8999999999999997e-02,6.8547609855446778e-02,6.9415193372660847e-02
5.9999999999999998e-02,7.0085653513839011e-02,7.0982948591843537e-02
6.0999999999999999e-02,7.1618491314388605e-02,7.2546000880877023e-02
6.2000000000000000e-02,7.3145806615762893e-02,7.4104033776810560e-02
6.3000000000000000e-02,7.4667305554694946e-02,7.5656753597679594e-02
6.4000000000000001e-02,7.6182715869668099e-02,7.7203888266243997e-02
6.5000000000000002e-02,7.7691785769220340e-02,7.8745186178341114e-02
6.6000000000000003e-02,7.9194282844948172e-02,8.0280415115925610e-02
6.7000000000000004e-02,8.0689993029010004e-02,8.1809361204588565e-02
6.8000000000000005e-02,8.2178719595683944e-02,8.3331827915108930e-02
6.9000000000000006e-02,8.3660282206330733e-02,8.4847635108391023e-02
7.0000000000000007e-02,8.5134515996944160e-02,8.6356618122973364e-02
7.0999999999999994e-02,8.6601270707329980e-02,8.7858626904157786e-02
7.1999999999999995e-02,8.8060409850840932e-02,8.9353525173697490e-02
7.2999999999999995e-02,8.9511809923512056e-02,9.0841189638893635e-02
7.3999999999999996e-02,9.0955359651373288e-02,9.2321509239885191e-02
7.4999999999999997e-02,9.2390959274668796e-02,9.3794384433866382e-02
7.5999999999999998e-02,9.3818519867685968e-02,9.5259726514932683e-02
7.6999999999999999e-02,9.5237962692877945e-02,9.6717456968236096e-02
7.8000000000000000e-02,9.6649218587955610e-02,9.8167506857122125e-02
7.9000000000000001e-02,9.8052227384634150e-02,9.9609816241921195e-02
8.0000000000000002e-02,9.9446937357720575e-02,1.0104433362907712e-01
8.1000000000000003e-02,1.0083330470324997e-01,1.0247101544931116e-01
8.2000000000000003e-02,1.0221129304439666e-01,1.0388982556354265e-01
8.3000000000000004e-02,1.0358087296390540e-01,1.0530073479531345e-01
8.4000000000000005e-02,1.0494202156182406e-01,1.0670372048849418e-01
8.5000000000000006e-02,1.0629472203734003e-01,1.0809876608908429e-01
8.5999999999999993e-02,1.0763896329356383e-01,1.0948586074995315e-01
8.6999999999999994e-02,1.0897473956413752e-01,1.1086499895740723e-01
8.7999999999999995e-02,1.1030205006058262e-01,1.1223618017850795e-01
8.8999999999999996e-02,1.1162089863934899e-01,1.1359940852810291e-01
8.9999999999999997e-02,1.1293129348756252e-01,1.1495469245457490e-01
9.0999999999999998e-02,1.1423324682651777e-01,1.1630204444335140e-01
9.1999999999999998e-02,1.1552677463200091e-01,1.1764148073725836e-01
9.2999999999999999e-02,1.1681189637057079e-01,1.1897302107284063e-01
9.4000000000000000e-02,1.1808863475096835e-01,1.2029668843181048e-01
9.5000000000000001e-02,1.1935701548985712e-01,1.2161250880682305e-01
9.6000000000000002e-02,1.2061706709114044e-01,1.2292051098081536e-01
9.7000000000000003e-02,1.2186882063812784e-01,1.2422072631918056e-01
9.8000000000000004e-02,1.2311230959786118e-01,1.2551318857408472e-01
9.9000000000000005e-02,1.2434756963693762e-01,1.2679793370026662e-01
1.0000000000000001e-01,1.2557463844819913e-01,1.2807499968169403e-01
1.0100000000000001e-01,1.2679355558768710e-01,1.2934442636848131e-01
1.0199999999999999e-01,1.2800436232129023e-01,1.3060625532350245e-01
1.0299999999999999e-01,1.2920710148054376e-01,1.3186052967816408e-01
1.0400000000000000e-01,1.3040181732706516e-01,1.3310729399682933e-01
1.0500000000000000e-01,1.3158855542514594e-01,1.3434659414941047e-01
1.0600000000000000e-01,1.3276736252203875e-01,1.3557847719167415e-01
1.0700000000000000e-01,1.3393828643551411e-01,1.3680299125282563e-01
1.0800000000000000e-01,1.3510137594827976e-01,1.3802018542996389e-01
1.0900000000000000e-01,1.3625668070888355e-01,1.3923010968901858e-01
1.1000000000000000e-01,1.3740425113873569e-01,1.4043281477180344e-01
1.1100000000000000e-01,1.3854413834491353e-01,1.4162835210883853e-01
1.1200000000000000e-01,1.3967639403841836e-01,1.4281677373761395e-01
1.1300000000000000e-01,1.4080107045758031e-01,1.4399813222598459e-01
1.1400000000000000e-01,1.4191822029631246e-01,1.4517248060040366e-01
1.1500000000000000e-01,1.4302789663693535e-01,1.4633987227871742e-01
1.1600000000000001e-01,1.4413015288730521e-01,1.4750036100726030e-01
1.1700000000000001e-01,1.4522504272199191e-01,1.4865400080200286e-01
1.1799999999999999e-01,1.4631262002726875e-01,1.4980084589352005e-01
1.1899999999999999e-01,1.4739293884969090e-01,1.5094095067555857e-01
1.2000000000000000e-01,1.4846605334805105e-01,1.5207436965699631e-01
1.2100000000000000e-01,1.4953201774851729e-01,1.5320115741699700e-01
