r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e-03,7.7120718922944688e-06,7.9573492937608719e-06
2.0000000000000000e-03,3.0843513122049695e-05,3.1824624117798985e-05
3.0000000000000001e-03,6.9380009886883253e-05,7.1587514839659082e-05
4.0000000000000001e-03,1.2329773760608650e-04,1.2722220382949888e-04
5.0000000000000001e-03,1.9256340841585125e-04,1.9869541295671297e-04
6.0000000000000001e-03,2.7713433738422278e-04,2.8596446980673620e-04
7.0000000000000001e-03,3.7695852716969108e-04,3.8897739234195172e-04
8.0000000000000002e-03,4.9197477077223060e-04,5.0767299165514529e-04
8.9999999999999993e-03,6.2211277195206322e-04,6.4198099239095154e-04
1.0000000000000000e-02,7.6729328282193563e-04,7.9182217034074820e-04
1.0999999999999999e-02,9.2742825805188021e-04,9.5710850664989676e-04
1.2000000000000000e-02,1.1024210250628111e-03,1.1377433580135995e-03
1.2999999999999999e-02,1.2921664695270286e-03,1.3336216421792461e-03
1.4000000000000000e-02,1.4965512354397650e-03,1.5446300380193875e-03
1.4999999999999999e-02,1.7154539389772636e-03,1.7706471993906283e-03
1.6000000000000000e-02,1.9487453953128950e-03,2.0115439819500818e-03
1.7000000000000001e-02,2.1962888575248630e-03,2.2671836820627126e-03
1.7999999999999999e-02,2.4579402666958646e-03,2.5374222869001210e-03
1.9000000000000000e-02,2.7335485122780973e-03,2.8221087348041358e-03
2.0000000000000000e-02,3.0229557017754402e-03,3.1210851849670174e-03
2.1000000000000001e-02,3.3259974387784682e-03,3.4341872954642538e-03
2.1999999999999999e-02,3.6425031083780150e-03,3.7612445086655216e-03
2.3000000000000000e-02,3.9722961689778189e-03,4.1020803430446423e-03
2.4000000000000000e-02,4.3151944495275017e-03,4.4565126904098275e-03
2.5000000000000001e-02,4.6710104512027433e-03,4.8243541175811821e-03
2.5999999999999999e-02,5.0395516525699752e-03,5.2054121715530647e-03
2.7000000000000000e-02,5.4206208172884835e-03,5.5994896871941228e-03
2.8000000000000001e-02,5.8140163034223410e-03,6.0063850965575375e-03
2.9000000000000001e-02,6.2195323734582130e-03,6.4258927388977771e-03
2.9999999999999999e-02,6.6369595041530964e-03,6.8578031705176633e-03
3.1000000000000000e-02,7.0660846953664296e-03,7.3019034736005132e-03
3.2000000000000001e-02,7.5066917770655840e-03,7.7579775632161396e-03
3.3000000000000002e-02,7.9585617137302184e-03,8.2258064917262071e-03
3.4000000000000002e-02,8.4214729054200386e-03,8.7051687498535049e-03
3.5000000000000003e-02,8.8952014848117794e-03,9.1958405637207353e-03
3.5999999999999997e-02,9.3795216095536489e-03,9.6975961872070738e-03
3.6999999999999998e-02,9.8742057493296058e-03,1.0210208189014709e-02
3.7999999999999999e-02,1.0379024967070487e-02,1.0733447733882264e-02
3.9000000000000000e-02,1.0893749193794846e-02,1.1267084857427712e-02
4.0000000000000001e-02,1.1418147496607233e-02,1.1810888734148798e-02
4.1000000000000002e-02,1.1951988339428459e-02,1.2364627938154836e-02
4.2000000000000003e-02,1.2495039836076692e-02,1.2928070696249122e-02
4.2999999999999997e-02,1.3047069995363684e-02,1.3500985133025936e-02
4.3999999999999997e-02,1.3607846957914173e-02,1.4083139507690240e-02
4.4999999999999998e-02,1.4177139224459526e-02,1.4674302442351041e-02
4.5999999999999999e-02,1.4754715875398445e-02,1.5274243141581361e-02
4.7000000000000000e-02,1.5340346781457986e-02,1.5882731603077967e-02
4.8000000000000001e-02,1.5933802805326996e-02,1.6499538819293037e-02
4.9000000000000002e-02,1.6534855994171111e-02,1.7124436969947143e-02
5.0000000000000003e-02,1.7143279762974119e-02,1.7757199605368243e-02
5.0999999999999997e-02,1.7758849068683937e-02,1.8397601820635150e-02
5.1999999999999998e-02,1.8381340575173297e-02,1.9045420420535558e-02
5.2999999999999999e-02,1.9010532809054400e-02,1.9700434075378245e-02
5.3999999999999999e-02,1.9646206306415250e-02,2.0362423467727070e-02
5.5000000000000000e-02,2.0288143750570763e-02,2.1031171430149820e-02
5.6000000000000001e-02,2.0936130100944850e-02,2.1706463074098726e-02
5.7000000000000002e-02,2.1589952713222560e-02,2.2388085910061094e-02
5.8000000000000003e-02,2.2249401450929837e-02,2.3075829959138289e-02
5.8999999999999997e-02,2.2914268788617118e-02,2.3769487856228840e-02
5.9999999999999998e-02,2.3584349906838331e-02,2.4468854945007598e-02
6.0999999999999999e-02,2.4259442779131217e-02,2.5173729364906562e-02
6.2000000000000000e-02,2.4939348251217013e-02,2.5883912130315542e-02
6.3000000000000000e-02,2.5623870112648155e-02,2.6599207202231134e-02
6.4000000000000001e-02,2.6312815161141499e-02,2.7319421552591625e-02
6.5000000000000002e-02,2.7005993259842181e-02,2.8044365221542574e-02
6.6000000000000003e-02,2.7703217387768875e-02,2.8773851367883938e-02
6.7000000000000004e-02,2.8404303683695876e-02,2.9507696312953996e-02
6.8000000000000005e-02,2.9109071483730580e-02,3.0245719578208610e-02
6.9000000000000006e-02,2.9817343352847154e-02,3.0987743916756343e-02
7.0000000000000007e-02,3.0528945110637695e-02,3.1733595339110854e-02
7.0999999999999994e-02,3.1243705851542243e-02,3.2483103133421828e-02
7.1999999999999995e-02,3.1961457959818092e-02,3.3236099880444667e-02
7.2999999999999995e-02,3.2682037119506097e-02,3.3992421463506853e-02
7.3999999999999996e-02,3.3405282319649988e-02,3.4751907073726773e-02
7.4999999999999997e-02,3.4131035855019927e-02,3.5514399210736472e-02
7.5999999999999998e-02,3.4859143322588548e-02,3.6279743679156394e-02
7.6999999999999999e-02,3.5589453614002169e-02,3.7047789581064867e-02
7.8000000000000000e-02,3.6321818904284750e-02,3.7818389304700363e-02
7.9000000000000001e-02,3.7056094637007243e-02,3.8591398509628505e-02
8.0000000000000002e-02,3.7792139506147619e-02,3.9366676108600056e-02
8.1000000000000003e-02,3.8529815434861781e-02,4.0144084246319482e-02
