xi,D_torus,D_infinite
5.1999999999999998e-02,1.2294170530424411e+00,1.2213284037462229e+00
5.2999999999999999e-02,1.2367211107989309e+00,1.2283380832791355e+00
5.3999999999999999e-02,1.2440660211752643e+00,1.2353842551323775e+00
5.5000000000000000e-02,1.2514484722415538e+00,1.2424636532278686e+00
5.6000000000000001e-02,1.2588652280298553e+00,1.2495730867145403e+00
5.7000000000000002e-02,1.2663131298254087e+00,1.2567094412362594e+00
5.8000000000000003e-02,1.2737890972409998e+00,1.2638696799851685e+00
5.8999999999999997e-02,1.2812901290834842e+00,1.2710508445493953e+00
5.9999999999999998e-02,1.2888133040216878e+00,1.2782500555642893e+00
6.0999999999999999e-02,1.2963557810650965e+00,1.2854645131765070e+00
6.2000000000000000e-02,1.3039147998628027e+00,1.2926914973303467e+00
6.3000000000000000e-02,1.3114876808322939e+00,1.2999283678858029e+00
6.4000000000000001e-02,1.3190718251275577e+00,1.3071725645777810e+00
6.5000000000000002e-02,1.3266647144560295e+00,1.3144216068258825e+00
6.6000000000000003e-02,1.3342639107537853e+00,1.3216730934040690e+00
6.7000000000000004e-02,1.3418670557282122e+00,1.3289247019793995e+00
6.8000000000000005e-02,1.3494718702773141e+00,1.3361741885288587e+00
6.9000000000000006e-02,1.3570761537945339e+00,1.3434193866431259e+00
7.0000000000000007e-02,1.3646777833678345e+00,1.3506582067259090e+00
7.0999999999999994e-02,1.3722747128814845e+00,1.3578886350972257e+00
7.1999999999999995e-02,1.3798649720287650e+00,1.3651087330087834e+00
7.2999999999999995e-02,1.3874466652435649e+00,1.3723166355793004e+00
7.3999999999999996e-02,1.3950179705584771e+00,1.3795105506573739e+00
7.4999999999999997e-02,1.4025771383967878e+00,1.3866887576191620e+00
7.5999999999999998e-02,1.4101224903054079e+00,1.3938496061078753e+00
7.6999999999999999e-02,1.4176524176354832e+00,1.4009915147217511e+00
7.8000000000000000e-02,1.4251653801771142e+00,1.4081129696568808e+00
7.9000000000000001e-02,1.4326599047543247e+00,1.4152125233109389e+00
8.0000000000000002e-02,1.4401345837860520e+00,1.4222887928535659e+00
8.1000000000000003e-02,1.4475880738186775e+00,1.4293404587688250e+00
8.2000000000000003e-02,1.4550190940352496e+00,1.4363662633748713e+00
8.3000000000000004e-02,1.4624264247463044e+00,1.4433650093256443e+00
8.4000000000000005e-02,1.4698089058668375e+00,1.4503355580991217e+00
8.5000000000000006e-02,1.4771654353837318e+00,1.4572768284763615e+00
8.5999999999999993e-02,1.4844949678176176e+00,1.4641877950152939e+00
8.6999999999999994e-02,1.4917965126829020e+00,1.4710674865229347e+00
8.7999999999999995e-02,1.4990691329494243e+00,1.4779149845294406e+00
8.8999999999999996e-02,1.5063119435089258e+00,1.4847294217671567e+00
8.9999999999999997e-02,1.5135241096492515e+00,1.4915099806575705e+00
9.0999999999999998e-02,1.5207048455390648e+00,1.4982558918088384e+00
9.1999999999999998e-02,1.5278534127254584e+00,1.5049664325263346e+00
9.2999999999999999e-02,1.5349691186467791e+00,1.5116409253384433e+00
9.4000000000000000e-02,1.5420513151626900e+00,1.5182787365396178e+00
9.5000000000000001e-02,1.5490993971033227e+00,1.5248792747525266e+00
9.6000000000000002e-02,1.5561128008391785e+00,1.5314419895109210e+00
9.7000000000000003e-02,1.5630910028732594e+00,1.5379663698646830e+00
9.8000000000000004e-02,1.5700335184567136e+00,1.5444519430083425e+00
9.9000000000000005e-02,1.5769399002292106e+00,1.5508982729342007e+00
1.0000000000000001e-01,1.5838097368849660e+00,1.5573049591110366e+00
1.0100000000000001e-01,1.5906426518653392e+00,1.5636716351892483e+00
1.0199999999999999e-01,1.5974383020786973e+00,1.5699979677331410e+00
1.0299999999999999e-01,1.6041963766481742e+00,1.5762836549809560e+00
1.0400000000000000e-01,1.6109165956878002e+00,1.5825284256331189e+00
1.0500000000000000e-01,1.6175987091073856e+00,1.5887320376690768e+00
1.0600000000000000e-01,1.6242424954464518e+00,1.5948942771930157e+00
1.0700000000000000e-01,1.6308477607374043e+00,1.6010149573086239e+00
1.0800000000000000e-01,1.6374143373980574e+00,1.6070939170230154e+00
1.0900000000000000e-01,1.6439420831535165e+00,1.6131310201798408e+00
1.1000000000000000e-01,1.6504308799874192e+00,1.6191261544215290e+00
1.1100000000000000e-01,1.6568806331224122e+00,1.6250792301805603e+00
1.1200000000000000e-01,1.6632912700296762e+00,1.6309901796996014e+00
1.1300000000000000e-01,1.6696627394673200e+00,1.6368589560802749e+00
1.1400000000000000e-01,1.6759950105473493e+00,1.6426855323602985e+00
1.1500000000000000e-01,1.6822880718309121e+00,1.6484699006186767e+00
1.1600000000000001e-01,1.6885419304514466e+00,1.6542120711086006e+00
1.1700000000000001e-01,1.6947566112653969e+00,1.6599120714176570e+00
1.1799999999999999e-01,1.7009321560300006e+00,1.6655699456549398e+00
1.1899999999999999e-01,1.7070686226077931e+00,1.6711857536646140e+00
1.2000000000000000e-01,1.7131660841972747e+00,1.6767595702654627e+00
1.2100000000000000e-01,1.7192246285893200e+00,1.6822914845159380e+00
1.2200000000000000e-01,1.7252443574487806e+00,1.6877815990041951e+00
1.2300000000000000e-01,1.7312253856207707e+00,1.6932300291626046e+00
1.2400000000000000e-01,1.7371678404611171e+00,1.6986369026062018e+00
1.2500000000000000e-01,1.7430718611903981e+00,1.7040023584945347e+00
1.2600000000000000e-01,1.7489375982710509e+00,1.7093265469163617e+00
1.2700000000000000e-01,1.7547652128069751e+00,1.7146096282966434e+00
1.2800000000000000e-01,1.7605548759650786e+00,1.7198517728252749e+00
1.2900000000000000e-01,1.7663067684181850e+00,1.7250531599069931e+00
1.3000000000000000e-01,1.7720210798087812e+00,1.7302139776319045e+00
1.3100000000000001e-01,1.7776980082329885e+00,1.7353344222660734e+00
1.3200000000000001e-01,1.7833377597442499e+00,1.7404146977616155e+00
1.3300000000000001e-01,1.7889405478761473e+00,1.7454550152857420e+00
1.3400000000000001e-01,1.7945065931837916e+00,1.7504555927682073e+00
1.3500000000000001e-01,1.8000361228032813e+00,1.7554166544666232e+00
1.3600000000000001e-01,1.8055293700286323e+00,1.7603384305490972e+00
1.3700000000000001e-01,1.8109865739057025e+00,1.7652211566936677e+00
1.3800000000000001e-01,1.8164079788425516e+00,1.7700650737040211e+00
1.3900000000000001e-01,1.8217938342357214e+00,1.7748704271409708e+00
1.4000000000000001e-01,1.8271443941119576e+00,1.7796374669691994e+00
1.4099999999999999e-01,1.8324599167848374e+00,1.7843664472187692e+00
1.4199999999999999e-01,1.8377406645258474e+00,1.7890576256609148e+00
1.4299999999999999e-01,1.8429869032494195e+00,1.7937112634976458e+00
1.4399999999999999e-01,1.8481989022114380e+00,1.7983276250646936e+00
1.4499999999999999e-01,1.8533769337208092e+00,1.8029069775473487e+00
1.4599999999999999e-01,1.8585212728635998e+00,1.8074495907087449e+00
1.4699999999999999e-01,1.8636321972393199e+00,1.8119557366301589e+00
1.4799999999999999e-01,1.8687099867089529e+00,1.8164256894629025e+00
1.4899999999999999e-01,1.8737549231542741e+00,1.8208597251913958e+00
1.4999999999999999e-01,1.8787672902480852e+00,1.8252581214070223e+00
1.5100000000000000e-01,1.8837473732349677e+00,1.8296211570923746e+00
1.5200000000000000e-01,1.8886954587221543e+00,1.8339491124155147e+00
1.5300000000000000e-01,1.8936118344801793e+00,1.8382422685338768e+00
1.5400000000000000e-01,1.8984967892529103e+00,1.8425009074074585e+00
1.5500000000000000e-01,1.9033506125766400e+00,1.8467253116209510e+00
1.5600000000000000e-01,1.9081735946078886e+00,1.8509157642144729e+00
1.5700000000000000e-01,1.9129660259595822e+00,1.8550725485225787e+00
1.5800000000000000e-01,1.9177281975452907e+00,1.8591959480212288e+00
1.5900000000000000e-01,1.9224604004312196e+00,1.8632862461824107e+00
1.6000000000000000e-01,1.9271629256956555e+00,1.8673437263361168e+00
1.6100000000000000e-01,1.9318360642955648e+00,1.8713686715393885e+00
1.6200000000000001e-01,1.9364801069400810e+00,1.8753613644521536e+00
1.6300000000000001e-01,1.9410953439705951e+00,1.8793220872195793e+00
1.6400000000000001e-01,1.9456820652471891e+00,1.8832511213606906e+00
1.6500000000000001e-01,1.9502405600411750e+00,1.8871487476629940e+00
1.6600000000000001e-01,1.9547711169334592e+00,1.8910152460828682e+00
1.6700000000000001e-01,1.9592740237185342e+00,1.8948508956514876e+00
1.6800000000000001e-01,1.9637495673138456e+00,1.8986559743860474e+00
1.6900000000000001e-01,1.9681980336743090e+00,1.9024307592060772e+00
1.7000000000000001e-01,1.9726197077117955e+00,1.9061755258546282e+00
1.7100000000000001e-01,1.9770148732193316e+00,1.9098905488241333e+00
1.7199999999999999e-01,1.9813838127998702e+00,1.9135761012867400e+00
1.7299999999999999e-01,1.9857268077993822e+00,1.9172324550289317e+00
1.7399999999999999e-01,1.9900441382441461e+00,1.9208598803902515e+00
1.7499999999999999e-01,1.9943360827820025e+00,1.9244586462059532e+00
1.7599999999999999e-01,1.9986029186274525e+00,1.9280290197534140e+00
1.7699999999999999e-01,2.0028449215103827e+00,1.9315712667021385e+00
1.7799999999999999e-01,2.0070623656283066e+00,1.9350856510672061e+00
1.7899999999999999e-01,2.0112555236019434e+00,1.9385724351660025e+00
1.7999999999999999e-01,2.0154246664339883e+00,1.9420318795780969e+00
1.8099999999999999e-01,2.0195700634709435e+00,1.9454642431081188e+00
1.8200000000000000e-01,2.0236919823678665e+00,1.9488697827515062e+00
1.8300000000000000e-01,2.0277906890559061e+00,1.9522487536629898e+00
1.8400000000000000e-01,2.0318664477124972e+00,1.9556014091276934e+00
1.8500000000000000e-01,2.0359195207341028e+00,1.9589280005347300e+00
1.8600000000000000e-01,2.0399501687113819e+00,1.9622287773531750e+00
1.8700000000000000e-01,2.0439586504066618e+00,1.9655039871103133e+00
1.8800000000000000e-01,2.0479452227336301e+00,1.9687538753720457e+00
1.8900000000000000e-01,2.0519101407391167e+00,1.9719786857253618e+00
1.9000000000000000e-01,2.0558536575868924e+00,1.9751786597627727e+00
1.9100000000000000e-01,2.0597760245433676e+00,1.9783540370686175e+00
1.9200000000000000e-01,2.0636774909651132e+00,1.9815050552071476e+00
1.9300000000000000e-01,2.0675583042881165e+00,1.9846319497123046e+00
1.9400000000000001e-01,2.0714187100186727e+00,1.9877349540791109e+00
1.9500000000000001e-01,2.0752589517258548e+00,1.9908142997565890e+00
1.9600000000000001e-01,2.0790792710354622e+00,1.9938702161421362e+00
1.9700000000000001e-01,2.0828799076253954e+00,1.9969029305772819e+00
1.9800000000000001e-01,2.0866610992223578e+00,1.9999126683447528e+00
1.9900000000000001e-01,2.0904230815998517e+00,2.0028996526667870e+00
2.0000000000000001e-01,2.0941660885773690e+00,2.0058641047046208e+00
2.0100000000000001e-01,2.0978903520207419e+00,2.0088062435591016e+00
2.0200000000000001e-01,2.1015961018435689e+00,2.0117262862723488e+00
2.0300000000000001e-01,2.1052835660096796e+00,2.0146244478304252e+00
2.0399999999999999e-01,2.1089529705365724e+00,2.0175009411669502e+00
2.0499999999999999e-01,2.1126045394997717e+00,2.0203559771676112e+00
2.0599999999999999e-01,2.1162384950380608e+00,2.0231897646755170e+00
