xi,D_torus,D_infinite
0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e-03,1.0024979451404834e+00,1.0024948033582457e+00
2.0000000000000000e-03,1.0099299458458983e+00,1.0099174097597914e+00
3.0000000000000001e-03,1.0221145845003949e+00,1.0220864930024556e+00
4.0000000000000001e-03,1.0387626080235390e+00,1.0387129468439722e+00
5.0000000000000001e-03,1.0594949025431626e+00,1.0594178520444599e+00
6.0000000000000001e-03,1.0838646187138314e+00,1.0837545921744804e+00
7.0000000000000001e-03,1.1113811046920847e+00,1.1112327761190806e+00
8.0000000000000002e-03,1.1415334152045002e+00,1.1413417366096463e+00
8.9999999999999993e-03,1.1738115729538421e+00,1.1735717817876639e+00
1.0000000000000000e-02,1.2077243349209437e+00,1.2074319529101800e+00
1.0999999999999999e-02,1.2428128282696707e+00,1.2424636532278686e+00
1.2000000000000000e-02,1.2786599632709534e+00,1.2782500555642893e+00
1.2999999999999999e-02,1.3148959415316042e+00,1.3144216068258823e+00
1.4000000000000000e-02,1.3512004369828794e+00,1.3506582067259085e+00
1.4999999999999999e-02,1.3873021467621187e+00,1.3866887576191622e+00
1.6000000000000000e-02,1.4229764196515098e+00,1.4222887928535657e+00
1.7000000000000001e-02,1.4580416071615099e+00,1.4572768284763615e+00
1.7999999999999999e-02,1.4923546798431189e+00,1.4915099806575705e+00
1.9000000000000000e-02,1.5258065349358734e+00,1.5248792747525266e+00
2.0000000000000000e-02,1.5583173086048172e+00,1.5573049591110366e+00
2.1000000000000001e-02,1.5898319069115310e+00,1.5887320376690768e+00
2.1999999999999999e-02,1.6203158886950175e+00,1.6191261544215290e+00
2.3000000000000000e-02,1.6497517712565863e+00,1.6484699006186767e+00
2.4000000000000000e-02,1.6781357844586904e+00,1.6767595702654627e+00
2.5000000000000001e-02,1.7054750678247788e+00,1.7040023584945347e+00
2.5999999999999999e-02,1.7317852854641780e+00,1.7302139776319043e+00
2.7000000000000000e-02,1.7570886223312796e+00,1.7554166544666234e+00
2.8000000000000001e-02,1.7814121200570412e+00,1.7796374669691994e+00
2.9000000000000001e-02,1.8047863094318801e+00,1.8029069775473487e+00
2.9999999999999999e-02,1.8272440980971767e+00,1.8252581214070223e+00
3.1000000000000000e-02,1.8488198750365064e+00,1.8467253116209512e+00
3.2000000000000001e-02,1.8695487972870795e+00,1.8673437263361168e+00
3.3000000000000002e-02,1.8894662284041011e+00,1.8871487476629940e+00
3.4000000000000002e-02,1.9086073022766521e+00,1.9061755258546285e+00
3.5000000000000003e-02,1.9270065897171040e+00,1.9244586462059534e+00
3.5999999999999997e-02,1.9446978487213049e+00,1.9420318795780969e+00
3.6999999999999998e-02,1.9617138423800045e+00,1.9589280005347300e+00
3.7999999999999999e-02,1.9780862111081450e+00,1.9751786597627727e+00
3.9000000000000000e-02,1.9938453881661466e+00,1.9908142997565890e+00
4.0000000000000001e-02,2.0090205494079427e+00,2.0058641047046208e+00
4.1000000000000002e-02,2.0236395898412103e+00,2.0203559771676112e+00
4.2000000000000003e-02,2.0377291209651580e+00,2.0343165355168455e+00
4.2999999999999997e-02,2.0513144839974302e+00,2.0477711272466537e+00
4.3999999999999997e-02,2.0644197750489881e+00,2.0607438542222618e+00
