xi,D_torus,D_infinite
0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e-03,1.0004030253112588e+00,1.0003998667146488e+00
2.0000000000000000e-03,1.0016104991825503e+00,1.0015978697341044e+00
3.0000000000000001e-03,1.0036176326644415e+00,1.0035892348752911e+00
4.0000000000000001e-03,1.0064165012672481e+00,1.0063660621119626e+00
5.0000000000000001e-03,1.0099961293662771e+00,1.0099174097597914e+00
6.0000000000000001e-03,1.0143426059382992e+00,1.0142294099116524e+00
7.0000000000000001e-03,1.0194392292980323e+00,1.0192854127965307e+00
8.0000000000000002e-03,1.0252666779706521e+00,1.0250661572043409e+00
8.9999999999999993e-03,1.0318032043938481e+00,1.0315499636789631e+00
1.0000000000000000e-02,1.0390248478058297e+00,1.0387129468439722e+00
1.0999999999999999e-02,1.0469056624449211e+00,1.0465292429962658e+00
1.2000000000000000e-02,1.0554179570672824e+00,1.0549712489838772e+00
1.2999999999999999e-02,1.0645325417781097e+00,1.0640098683729462e+00
1.4000000000000000e-02,1.0742189782612073e+00,1.0736147609985285e+00
1.4999999999999999e-02,1.0844458296729214e+00,1.0837545921744804e+00
1.6000000000000000e-02,1.0951809067257370e+00,1.0943972780965241e+00
1.7000000000000001e-02,1.1063915068100196e+00,1.1055102242950661e+00
1.7999999999999999e-02,1.1180446433740379e+00,1.1170605543651630e+00
1.9000000000000000e-02,1.1301072631865250e+00,1.1290153266043292e+00
2.0000000000000000e-02,1.1425464495279030e+00,1.1413417366096459e+00
2.1000000000000001e-02,1.1553296097811752e+00,1.1540073043097330e+00
2.1999999999999999e-02,1.1684246463095913e+00,1.1669800443220935e+00
2.3000000000000000e-02,1.1818001099043070e+00,1.1802286189215905e+00
2.4000000000000000e-02,1.1954253354529480e+00,1.1937224732726817e+00
2.5000000000000001e-02,1.2092705598131266e+00,1.2074319529101800e+00
2.5999999999999999e-02,1.2233070221683842e+00,1.2213284037462229e+00
2.7000000000000000e-02,1.2375070473961918e+00,1.2353842551323775e+00
2.8000000000000001e-02,1.2518441131866433e+00,1.2495730867145403e+00
2.9000000000000001e-02,1.2662929018181259e+00,1.2638696799851685e+00
2.9999999999999999e-02,1.2808293376232700e+00,1.2782500555642893e+00
3.1000000000000000e-02,1.2954306112685614e+00,1.2926914973303467e+00
3.2000000000000001e-02,1.3100751920269933e+00,1.3071725645777810e+00
3.3000000000000002e-02,1.3247428292490795e+00,1.3216730934040690e+00
3.4000000000000002e-02,1.3394145442375471e+00,1.3361741885288587e+00
3.5000000000000003e-02,1.3540726137091790e+00,1.3506582067259090e+00
3.5999999999999997e-02,1.3687005459873673e+00,1.3651087330087834e+00
3.6999999999999998e-02,1.3832830510151199e+00,1.3795105506573739e+00
3.7999999999999999e-02,1.3978060052136263e+00,1.3938496061078753e+00
3.9000000000000000e-02,1.4122564121394623e+00,1.4081129696568808e+00
4.0000000000000001e-02,1.4266223598165990e+00,1.4222887928535659e+00
4.1000000000000002e-02,1.4408929755402826e+00,1.4363662633748713e+00
4.2000000000000003e-02,1.4550583788701108e+00,1.4503355580991217e+00
4.2999999999999997e-02,1.4691096334512626e+00,1.4641877950152939e+00
4.3999999999999997e-02,1.4830386982270551e+00,1.4779149845294406e+00
4.4999999999999998e-02,1.4968383785334827e+00,1.4915099806575705e+00
4.5999999999999999e-02,1.5105022774984438e+00,1.5049664325263346e+00
4.7000000000000000e-02,1.5240247481048379e+00,1.5182787365396178e+00
4.8000000000000001e-02,1.5374008462184365e+00,1.5314419895109210e+00
4.9000000000000002e-02,1.5506262848281902e+00,1.5444519430083425e+00
5.0000000000000003e-02,1.5636973896985948e+00,1.5573049591110366e+00
5.0999999999999997e-02,1.5766110565907479e+00,1.5699979677331410e+00
5.1999999999999998e-02,1.5893647101705584e+00,1.5825284256331189e+00
5.2999999999999999e-02,1.6019562646890420e+00,1.5948942771930157e+00
5.3999999999999999e-02,1.6143840864904904e+00,1.6070939170230154e+00
5.5000000000000000e-02,1.6266469583789596e+00,1.6191261544215290e+00
5.6000000000000001e-02,1.6387440458521501e+00,1.6309901796996014e+00
5.7000000000000002e-02,1.6506748651934662e+00,1.6426855323602985e+00
5.8000000000000003e-02,1.6624392533979067e+00,1.6542120711086006e+00
5.8999999999999997e-02,1.6740373398949908e+00,1.6655699456549398e+00
5.9999999999999998e-02,1.6854695200218404e+00,1.6767595702654627e+00
6.0999999999999999e-02,1.6967364301916004e+00,1.6877815990041951e+00
6.2000000000000000e-02,1.7078389246962593e+00,1.6986369026062018e+00
6.3000000000000000e-02,1.7187780540784354e+00,1.7093265469163617e+00
6.4000000000000001e-02,1.7295550450036319e+00,1.7198517728252749e+00
6.5000000000000002e-02,1.7401712815624004e+00,1.7302139776319045e+00
6.6000000000000003e-02,1.7506282879310686e+00,1.7404146977616155e+00
6.7000000000000004e-02,1.7609277123194751e+00,1.7504555927682073e+00
6.8000000000000005e-02,1.7710713121348101e+00,1.7603384305490972e+00
6.9000000000000006e-02,1.7810609402917505e+00,1.7700650737040211e+00
7.0000000000000007e-02,1.7908985326007856e+00,1.7796374669691994e+00
7.0999999999999994e-02,1.8005860961685582e+00,1.7890576256609148e+00
7.1999999999999995e-02,1.8101256987462522e+00,1.7983276250646936e+00
7.2999999999999995e-02,1.8195194589646142e+00,1.8074495907087449e+00
7.3999999999999996e-02,1.8287695373967146e+00,1.8164256894629025e+00
7.4999999999999997e-02,1.8378781283923027e+00,1.8252581214070223e+00
7.5999999999999998e-02,1.8468474526303154e+00,1.8339491124155147e+00
7.6999999999999999e-02,1.8556797503388873e+00,1.8425009074074585e+00
7.8000000000000000e-02,1.8643772751349279e+00,1.8509157642144729e+00
7.9000000000000001e-02,1.8729422884380642e+00,1.8591959480212288e+00
8.0000000000000002e-02,1.8813770544163506e+00,1.8673437263361168e+00
8.1000000000000003e-02,1.8896838354237508e+00,1.8753613644521536e+00
8.2000000000000003e-02,1.8978648878918640e+00,1.8832511213606906e+00
8.3000000000000004e-02,1.9059224586407486e+00,1.8910152460828682e+00
8.4000000000000005e-02,1.9138587815760191e+00,1.8986559743860474e+00
8.5000000000000006e-02,1.9216760747415051e+00,1.9061755258546282e+00
8.5999999999999993e-02,1.9293765376989418e+00,1.9135761012867400e+00
8.6999999999999994e-02,1.9369623492080261e+00,1.9208598803902515e+00
8.7999999999999995e-02,1.9444356651821129e+00,1.9280290197534140e+00
8.8999999999999996e-02,1.9517986168965435e+00,1.9350856510672061e+00
8.9999999999999997e-02,1.9590533094282812e+00,1.9420318795780969e+00
9.0999999999999998e-02,1.9662018203070681e+00,1.9488697827515062e+00
9.1999999999999998e-02,1.9732461983597851e+00,1.9556014091276934e+00
9.2999999999999999e-02,1.9801884627310566e+00,1.9622287773531750e+00
9.4000000000000000e-02,1.9870306020644719e+00,1.9687538753720457e+00
9.5000000000000001e-02,1.9937745738298744e+00,1.9751786597627727e+00
9.6000000000000002e-02,2.0004223037834485e+00,1.9815050552071476e+00
9.7000000000000003e-02,2.0069756855482130e+00,1.9877349540791109e+00
9.8000000000000004e-02,2.0134365803036163e+00,1.9938702161421362e+00
9.9000000000000005e-02,2.0198068165737504e+00,1.9999126683447528e+00
1.0000000000000001e-01,2.0260881901045895e+00,2.0058641047046208e+00
1.0100000000000001e-01,2.0322824638213954e+00,2.0117262862723488e+00
1.0199999999999999e-01,2.0383913678581767e+00,2.0175009411669502e+00
1.0299999999999999e-01,2.0444165996517292e+00,2.0231897646755170e+00
1.0400000000000000e-01,2.0503598240934391e+00,2.0287944194102852e+00
1.0500000000000000e-01,2.0562226737325582e+00,2.0343165355168451e+00
1.0600000000000000e-01,2.0620067490252083e+00,2.0397577109277800e+00
1.0700000000000000e-01,2.0677136186238849e+00,2.0451195116564866e+00
1.0800000000000000e-01,2.0733448197026072e+00,2.0504034721263977e+00
1.0900000000000000e-01,2.0789018583133743e+00,2.0556110955312303e+00
1.1000000000000000e-01,2.0843862097698667e+00,2.0607438542222618e+00
1.1100000000000000e-01,2.0897993190548005e+00,2.0658031901190026e+00
1.1200000000000000e-01,2.0951426012475260e+00,2.0707905151399428e+00
1.1300000000000000e-01,2.1004174419689119e+00,2.0757072116503545e+00
1.1400000000000000e-01,2.1056251978407245e+00,2.0805546329244127e+00
1.1500000000000000e-01,2.1107671969569939e+00,2.0853341036191364e+00
1.1600000000000001e-01,2.1158447393651114e+00,2.0900469202578975e+00
1.1700000000000001e-01,2.1208590975546091e+00,2.0946943517214480e+00
1.1799999999999999e-01,2.1258115169517451e+00,2.0992776397446242e+00
1.1899999999999999e-01,2.1307032164182278e+00,2.1037979994170497e+00
1.2000000000000000e-01,2.1355353887525683e+00,2.1082566196863359e+00
1.2100000000000000e-01,2.1403092011926965e+00,2.1126546638624353e+00
1.2200000000000000e-01,2.1450257959186145e+00,2.1169932701219203e+00
1.2300000000000000e-01,2.1496862905540044e+00,2.1212735520111137e+00
1.2400000000000000e-01,2.1542917786658116e+00,2.1254965989470866e+00
1.2500000000000000e-01,2.1588433302609205e+00,2.1296634767156752e+00
1.2600000000000000e-01,2.1633419922791655e+00,2.1337752279657334e+00
1.2700000000000000e-01,2.1677887890819969e+00,2.1378328726989535e+00
1.2800000000000000e-01,2.1721847229361542e+00,2.1418374087546526e+00
1.2900000000000000e-01,2.1765307744919076e+00,2.1457898122890056e+00
1.3000000000000000e-01,2.1808279032553144e+00,2.1496910382482612e+00
1.3100000000000001e-01,2.1850770480541337e+00,2.1535420208355549e+00
1.3200000000000001e-01,2.1892791274970831e+00,2.1573436739709746e+00
1.3300000000000001e-01,2.1934350404260794e+00,2.1610968917445916e+00
1.3400000000000001e-01,2.1975456663612891e+00,2.1648025488622156e+00
1.3500000000000001e-01,2.2016118659387254e+00,2.1684615010836756e+00
1.3600000000000001e-01,2.2056344813402702e+00,2.1720745856534585e+00
1.3700000000000001e-01,2.2096143367159673e+00,2.1756426217235814e+00
1.3800000000000001e-01,2.2135522385984938e+00,2.1791664107686053e+00
1.3900000000000001e-01,2.2174489763097300e+00,2.1826467369927065e+00
1.4000000000000001e-01,2.2213053223594041e+00,2.1860843677287778e+00
1.4099999999999999e-01,2.2251220328357517e+00,2.1894800538295258e+00
1.4199999999999999e-01,2.2288998477882309e+00,2.1928345300505709e+00
1.4299999999999999e-01,2.2326394916022636e+00,2.1961485154255644e+00
1.4399999999999999e-01,2.2363416733660646e+00,2.1994227136333491e+00
1.4499999999999999e-01,2.2400070872296016e+00,2.2026578133572241e+00
1.4599999999999999e-01,2.2436364127557251e+00,2.2058544886363611e+00
1.4699999999999999e-01,2.2472303152635580e+00,2.2090133992094527e+00
1.4799999999999999e-01,2.2507894461642177e+00,2.2121351908506659e+00
1.4899999999999999e-01,2.2543144432889650e+00,2.2152204956980022e+00
1.4999999999999999e-01,2.2578059312098571e+00,2.2182699325741466e+00
1.5100000000000000e-01,2.2612645215530351e+00,2.2212841072999243e+00
1.5200000000000000e-01,2.2646908133047425e+00,2.2242636130004660e+00
1.5300000000000000e-01,2.2680853931101690e+00,2.2272090304042003e+00
1.5400000000000000e-01,2.2714488355652844e+00,2.2301209281347876e+00
1.5500000000000000e-01,2.2747817035017261e+00,2.2329998629961234e+00
1.5600000000000000e-01,2.2780845482649101e+00,2.2358463802505311e+00
1.5700000000000000e-01,2.2813579099854735e+00,2.2386610138902681e+00
1.5800000000000000e-01,2.2846023178441586e+00,2.2414442869024858e+00
1.5900000000000000e-01,2.2878182903303128e+00,2.2441967115277537e+00
1.6000000000000000e-01,2.2910063354940831e+00,2.2469187895122968e+00
1.6100000000000000e-01,2.2941669511924641e+00,2.2496110123540634e+00
1.6200000000000001e-01,2.2973006253293273e+00,2.2522738615427595e+00
1.6300000000000001e-01,2.3004078360895570e+00,2.2549078087939773e+00
1.6400000000000001e-01,2.3034890521674085e+00,2.2575133162775525e+00
1.6500000000000001e-01,2.3065447329892539e+00,2.2600908368402690e+00
1.6600000000000001e-01,2.3095753289307872e+00,2.2626408142230496e+00
1.6700000000000001e-01,2.3125812815288831e+00,2.2651636832727524e+00
1.6800000000000001e-01,2.3155630236881608e+00,2.2676598701487003e+00
1.6900000000000001e-01,2.3185209798824435e+00,2.2701297925240649e+00
1.7000000000000001e-01,2.3214555663511809e+00,2.2725738597822316e+00
1.7100000000000001e-01,2.3243671912909907e+00,2.2749924732082598e+00
1.7199999999999999e-01,2.3272562550424292e+00,2.2773860261755621e+00
1.7299999999999999e-01,2.3301231502720809e+00,2.2797549043279153e+00
1.7399999999999999e-01,2.3329682621501240e+00,2.2820994857569170e+00
1.7499999999999999e-01,2.3357919685234609e+00,2.2844201411750062e+00
1.7599999999999999e-01,2.3385946400845032e+00,2.2867172340841506e+00
1.7699999999999999e-01,2.3413766405357794e+00,2.2889911209403127e+00
1.7799999999999999e-01,2.3441383267503926e+00,2.2912421513138002e+00
1.7899999999999999e-01,2.3468800489285049e+00,2.2934706680456074e+00
1.7999999999999999e-01,2.3496021507498988e+00,2.2956770073998416e+00
1.8099999999999999e-01,2.3523049695227463e+00,2.2978614992123432e+00
1.8200000000000000e-01,2.3549888363286580e+00,2.3000244670355916e+00
1.8300000000000000e-01,2.3576540761641329e+00,2.3021662282799920e+00
1.8400000000000000e-01,2.3603010080784834e+00,2.3042870943516389e+00
1.8500000000000000e-01,2.3629299453083235e+00,2.3063873707866476e+00
1.8600000000000000e-01,2.3655411954087371e+00,2.3084673573821353e+00
1.8700000000000000e-01,2.3681350603811766e+00,2.3105273483239506e+00
1.8800000000000000e-01,2.3707118367981979e+00,2.3125676323112261e+00
1.8900000000000000e-01,2.3732718159251149e+00,2.3145884926778391e+00
1.9000000000000000e-01,2.3758152838386404e+00,2.3165902075108660e+00
1.9100000000000000e-01,2.3783425215426064e+00,2.3185730497661003e+00
1.9200000000000000e-01,2.3808538050808292e+00,2.3205372873807217e+00
1.9300000000000000e-01,2.3833494056472100e+00,2.3224831833831785e+00
1.9400000000000001e-01,2.3858295896931150e+00,2.3244109960003669e+00
1.9500000000000001e-01,2.3882946190321404e+00,2.3263209787621726e+00
1.9600000000000001e-01,2.3907447509423072e+00,2.3282133806034460e+00
1.9700000000000001e-01,2.3931802382657636e+00,2.3300884459634768e+00
1.9800000000000001e-01,2.3956013295060505e+00,2.3319464148830340e+00
1.9900000000000001e-01,2.3980082689230136e+00,2.3337875230990375e+00
2.0000000000000001e-01,2.4004012966254011e+00,2.3356120021369202e+00
2.0100000000000001e-01,2.4027806486612260e+00,2.3374200794007427e+00
2.0200000000000001e-01,2.4051465571059381e+00,2.3392119782611216e+00
2.0300000000000001e-01,2.4074992501484744e+00,2.3409879181410234e+00
2.0399999999999999e-01,2.4098389521752370e+00,2.3427481145994866e+00
2.0499999999999999e-01,2.4121658838520581e+00,2.3444927794133221e+00
2.0599999999999999e-01,2.4144802622041914e+00,2.3462221206568450e+00
2.0699999999999999e-01,2.4167823006944040e+00,2.3479363427796933e+00
2.0799999999999999e-01,2.4190722092992027e+00,2.3496356466827759e+00
2.0899999999999999e-01,2.4213501945832450e+00,2.3513202297924076e+00
2.0999999999999999e-01,2.4236164597719831e+00,2.3529902861326732e+00
2.1099999999999999e-01,2.4258712048225988e+00,2.3546460063960670e+00
2.1199999999999999e-01,2.4281146264932505e+00,2.3562875780124557e+00
2.1299999999999999e-01,2.4303469184107049e+00,2.3579151852164051e+00
2.1400000000000000e-01,2.4325682711363594e+00,2.3595290091129142e+00
2.1500000000000000e-01,2.4347788722307486e+00,2.3611292277415994e+00
2.1600000000000000e-01,2.4369789063165128e+00,2.3627160161393688e+00
2.1700000000000000e-01,2.4391685551399180e+00,2.3642895464016229e+00
2.1800000000000000e-01,2.4413479976309467e+00,2.3658499877420223e+00
2.1900000000000000e-01,2.4435174099619856e+00,2.3673975065508603e+00
2.2000000000000000e-01,2.4456769656051698e+00,2.3689322664520751e+00
2.2100000000000000e-01,2.4478268353883990e+00,2.3704544283589333e+00
2.2200000000000000e-01,2.4499671875500644e+00,2.3719641505284281e+00
2.2300000000000000e-01,2.4520981877925334e+00,2.3734615886144135e+00
2.2400000000000000e-01,2.4542199993344020e+00,2.3749468957195163e+00
2.2500000000000001e-01,2.4563327829615571e+00,2.3764202224458519e+00
2.2600000000000001e-01,2.4584366970770910e+00,2.3778817169445778e+00
2.2700000000000001e-01,2.4605318977500730e+00,2.3793315249643108e+00
2.2800000000000001e-01,2.4626185387632260e+00,2.3807697898984395e+00
2.2900000000000001e-01,2.4646967716595327e+00,2.3821966528313605e+00
2.3000000000000001e-01,2.4667667457877926e+00,2.3836122525836636e+00
2.3100000000000001e-01,2.4688286083471573e+00,2.3850167257562931e+00
2.3200000000000001e-01,2.4708825044306848e+00,2.3864102067737125e+00
2.3300000000000001e-01,2.4729285770679117e+00,2.3877928279260967e+00
2.3400000000000001e-01,2.4749669672664911e+00,2.3891647194105747e+00
2.3499999999999999e-01,2.4769978140529099e+00,2.3905260093715497e+00
2.3599999999999999e-01,2.4790212545123071e+00,2.3918768239401187e+00
2.3699999999999999e-01,2.4810374238274226e+00,2.3932172872726101e+00
2.3799999999999999e-01,2.4830464553166869e+00,2.3945475215882706e+00
2.3899999999999999e-01,2.4850484804714927e+00,2.3958676472061100e+00
2.3999999999999999e-01,2.4870436289926441e+00,2.3971777825809371e+00
2.4099999999999999e-01,2.4890320288260215e+00,2.3984780443385958e+00
2.4199999999999999e-01,2.4910138061974854e+00,2.3997685473104351e+00
2.4299999999999999e-01,2.4929890856470127e+00,2.4010494045670132e+00
2.4399999999999999e-01,2.4949579900621148e+00,2.4023207274510705e+00
2.4500000000000000e-01,2.4969206407105373e+00,2.4035826256097845e+00
2.4600000000000000e-01,2.4988771572722643e+00,2.4048352070263199e+00
2.4700000000000000e-01,2.5008276578708424e+00,2.4060785780506975e+00
2.4800000000000000e-01,2.5027722591040447e+00,2.4073128434299935e+00
2.4900000000000000e-01,2.5047110760738871e+00,2.4085381063378897e+00
2.5000000000000000e-01,2.5066442224160168e+00,2.4097544684035870e+00
2.5100000000000000e-01,2.5085718103284855e+00,2.4109620297400975e+00
2.5200000000000000e-01,2.5104939505999213e+00,2.4121608889719370e+00
2.5300000000000000e-01,2.5124107526371176e+00,2.4133511432622212e+00
2.5400000000000000e-01,2.5143223244920523e+00,2.4145328883391866e+00
2.5500000000000000e-01,2.5162287728883492e+00,2.4157062185221543e+00
2.5600000000000001e-01,2.5181302032471935e+00,2.4168712267469381e+00
2.5700000000000001e-01,2.5200267197127237e+00,2.4180280045907212e+00
2.5800000000000001e-01,2.5219184251769002e+00,2.4191766422964074e+00
2.5900000000000001e-01,2.5238054213038712e+00,2.4203172287964634e+00
2.6000000000000001e-01,2.5256878085538497e+00,2.4214498517362637e+00
2.6100000000000001e-01,2.5275656862065015e+00,2.4225745974969439e+00
2.6200000000000001e-01,2.5294391523838735e+00,2.4236915512177850e+00
2.6300000000000001e-01,2.5313083040728577e+00,2.4248007968181291e+00
