r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e-03,1.9844560023878988e-04,1.9869541295671305e-04
2.0000000000000000e-03,7.9082292238984706e-04,7.9182217034074853e-04
3.0000000000000001e-03,1.7683988977229849e-03,1.7706471993906283e-03
4.0000000000000001e-03,3.1170882071778995e-03,3.1210851849670183e-03
5.0000000000000001e-03,4.8181088257638598e-03,4.8243541175811821e-03
6.0000000000000001e-03,6.8488099052549326e-03,6.8578031705176633e-03
7.0000000000000001e-03,9.1835996466858444e-03,9.1958405637207318e-03
8.0000000000000002e-03,1.1794900473136140e-02,1.1810888734148801e-02
8.9999999999999993e-03,1.4654067130204942e-02,1.4674302442351041e-02
1.0000000000000000e-02,1.7732217511003207e-02,1.7757199605368243e-02
1.0999999999999999e-02,2.1000942788176661e-02,2.1031171430149820e-02
1.2000000000000000e-02,2.4432879951628284e-02,2.4468854945007598e-02
1.2999999999999999e-02,2.8002144037545612e-02,2.8044365221542567e-02
1.4000000000000000e-02,3.1684628093482409e-02,3.1733595339110847e-02
1.4999999999999999e-02,3.5458185998129381e-02,3.5514399210736486e-02
1.6000000000000000e-02,3.9302716980517544e-02,3.9366676108600063e-02
1.7000000000000001e-02,4.3200171729866906e-02,4.3272376773952625e-02
1.7999999999999999e-02,4.7134499131866334e-02,4.7215450147535795e-02
1.9000000000000000e-02,5.1091550641643987e-02,5.1181747736993868e-02
2.0000000000000000e-02,5.5058956704770998e-02,5.5158900038162900e-02
2.1000000000000001e-02,5.9025986895720882e-02,5.9136176679034085e-02
2.1999999999999999e-02,6.2983402833881416e-02,6.3104339340711094e-02
2.3000000000000000e-02,6.6923310615460765e-02,6.7055494188830861e-02
2.4000000000000000e-02,7.0839017536891716e-02,7.0982948591843537e-02
2.5000000000000001e-02,7.4724896297592810e-02,7.4881075319336535e-02
2.5999999999999999e-02,7.8576258635692411e-02,7.8745186178341101e-02
2.7000000000000000e-02,8.2389239423999200e-02,8.2571416114054649e-02
2.8000000000000001e-02,8.6160691579110188e-02,8.6356618122973336e-02
2.9000000000000001e-02,8.9888091660352665e-02,9.0098268851221741e-02
2.9999999999999999e-02,9.3569455713501018e-02,9.3794384433866410e-02
3.1000000000000000e-02,9.7203264713273799e-02,9.7443445933727044e-02
3.2000000000000001e-02,1.0078839885043697e-01,1.0104433362907714e-01
3.3000000000000002e-02,1.0432407986762697e-01,1.0459626935354838e-01
3.4000000000000002e-02,1.0780982064889526e-01,1.0809876608908432e-01
3.5000000000000003e-02,1.1124538129355650e-01,1.1155158403923465e-01
3.5999999999999997e-02,1.1463073094539812e-01,1.1495469245457490e-01
3.6999999999999998e-02,1.1796601469988252e-01,1.1830823653672881e-01
3.7999999999999999e-02,1.2125152497210662e-01,1.2161250880682305e-01
3.9000000000000000e-02,1.2448767677222482e-01,1.2486792438443400e-01
4.0000000000000001e-02,1.2767498639656674e-01,1.2807499968169403e-01
4.1000000000000002e-02,1.3081405309743011e-01,1.3123433407265864e-01
4.2000000000000003e-02,1.3390554334246804e-01,1.3434659414941053e-01
4.2999999999999997e-02,1.3695017731872711e-01,1.3741250022327081e-01
4.3999999999999997e-02,1.3994871737929951e-01,1.4043281477180344e-01
4.4999999999999998e-02,1.4290195817157941e-01,1.4340833257013577e-01
4.5999999999999999e-02,1.4581071822233393e-01,1.4633987227871742e-01
4.7000000000000000e-02,1.4867583278396054e-01,1.4922826928930077e-01
4.8000000000000001e-02,1.5149814776940285e-01,1.5207436965699631e-01
